,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EhepTS1_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EthrC_enzyme_forward_efficiency,0.32049357891082764,4166.9211,0.001,4.1669211,0.32049398392821615,0.32049312044108547,8.634871306867353e-07,1.0361212871138061e-07,0.0013471207966493882
EpurC_enzyme_backward_efficiency,0.32049357891082764,18545.4407,0.001,18.5454407,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EilvC1_enzyme_backward_efficiency,0.32049357891082764,2925.0585,0.001,2.9250585,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eure_enzyme_forward_efficiency,0.32049357891082764,8255.4952,0.001,8.2554952,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,9.533958750186679e-09,0.00024558230141972137
Eapt_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EctaB_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EaroF_enzyme_backward_efficiency,0.32049357891082764,9989.8756,0.001,9.9898756,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ebkd2_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpanE_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EribE_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ebkd3_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EtrpB_enzyme_backward_efficiency,0.32049357891082764,96728.602,0.001,96.728602,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Enrd3_enzyme_forward_efficiency,0.32049357891082764,21851.156,0.001,21.851156,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tp_efficiency,0.32049357891082764,370089.3997770918,0.001,370.08939977709184,0.32049406493169386,0.32049304402946177,1.0209022320850636e-06,1.3792643516674108e-09,0.0015927030980691095
TmgtE_efficiency,0.32049357891082764,3395.166759259259,0.001,3.395166759259259,0.32049374091778304,0.32049342608758025,3.148302027966565e-07,4.6364468245639966e-08,0.0004911646028394427
EpanD_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpheS_enzyme_backward_efficiency,0.32049357891082764,11570.1557,0.001,11.570155699999999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmenE_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EproI_enzyme_forward_efficiency,0.32049357891082764,947188.9647,0.001,947.1889647,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpX_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ecxx_enzyme_forward_efficiency,0.32049357891082764,22545.4005,0.001,22.5454005,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,1.694616684567081e-09,0.00011920928955078125
EmraY_enzyme_backward_efficiency,0.32049357891082764,20171.206,0.001,20.171205999999998,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EargF_enzyme_backward_efficiency,0.32049357891082764,13803.4419,0.001,13.8034419,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EfolD2_enzyme_forward_efficiency,0.32049357891082764,80512.5798,0.001,80.51257980000001,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,4.745322028241232e-10,0.00011920928955078125
EileS_enzyme_forward_efficiency,0.32049357891082764,12079.0067,0.001,12.0790067,0.32049414593517156,0.32049304402946177,1.1019057097882978e-06,4.561243060608195e-08,0.0017190761099380497
Epfk_enzyme_backward_efficiency,0.32049357891082764,1123157.0132,0.001,1123.1570132,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Eure_enzyme_backward_efficiency,0.32049357891082764,8255.4952,0.001,8.2554952,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpatA_enzyme_forward_efficiency,0.32049357891082764,139481.9825,0.001,139.48198250000002,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EsufS_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcitG_enzyme_forward_efficiency,0.32049357891082764,161908.4817,0.001,161.9084817,0.32049430794212697,0.3204928147945907,1.4931475362800484e-06,4.611084980238093e-09,0.0023294500023282737
EspeD_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EproS_enzyme_backward_efficiency,0.32049357891082764,21092.466,0.001,21.092466,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcitG_enzyme_backward_efficiency,0.32049357891082764,161908.4817,0.001,161.9084817,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Edef_enzyme_backward_efficiency,0.32049357891082764,56129.7894,0.001,56.1297894,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EargS_enzyme_backward_efficiency,0.32049357891082764,8613.0843,0.001,8.6130843,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Epyk_enzyme_forward_efficiency,0.32049357891082764,94172.2834,0.001,94.1722834,0.3204944699490824,0.3204926619713433,1.8079777390767049e-06,9.599309233042899e-09,0.0028206146051677162
EaroF_enzyme_forward_efficiency,0.32049357891082764,9989.8756,0.001,9.9898756,0.32049390292473845,0.32049327326433286,6.29660405593313e-07,3.151492725261329e-08,0.0009823292056788855
TptsG_efficiency,0.32049357891082764,40425.0437030303,0.001,40.4250437030303,0.32073918145522384,0.3202476863057768,0.0004914951494470188,6.079092369789768e-06,0.7667784657610405
EpurLQ_enzyme_backward_efficiency,0.32049357891082764,8683.8154,0.001,8.6838154,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmenC_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmtnK_enzyme_forward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049365991430534,0.32049342608758025,2.3382672509342228e-07,2.2849971132334125e-07,0.0003647915909705026
EmetC_enzyme_backward_efficiency,0.32049357891082764,21126.7249,0.001,21.126724900000003,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
